schema_version,id,app_name,category,website,description,auth_methods,access_model,api_available,api_types,api_breadth,mcp_available,mcp_notes,buildability,primary_blocker,buildability_rationale,evidence,research_confidence,verification_status,verification_notes,researched_at,run_id
1.0,1,Salesforce,1. CRM and Sales,http://salesforce.com/,unknown,"[""unknown""]",unknown,yes,"[""rest""]",unknown,unknown,unknown,unknown,unknown,unknown,"[{""evidence_id"": ""human-report-001:api_available-1"", ""field"": ""api_available"", ""claim"": ""yes"", ""url"": ""https://developer.salesforce.com/docs/platform/api-rest/guide/quickstart.html"", ""final_url"": ""https://developer.salesforce.com/docs/platform/api-rest/guide/quickstart.html"", ""source_kind"": ""official"", ""retrieved_at"": """", ""content_sha256"": """", ""quote"": """", ""supports_claim"": ""yes""}, {""evidence_id"": ""human-report-001:api_available-2"", ""field"": ""api_available"", ""claim"": ""yes"", ""url"": ""https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_rest.htm"", ""final_url"": ""https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_rest.htm"", ""source_kind"": ""official"", ""retrieved_at"": """", ""content_sha256"": """", ""quote"": """", ""supports_claim"": ""yes""}, {""evidence_id"": ""human-report-001:api_types-1"", ""field"": ""api_types"", ""claim"": ""[\""rest\""]"", ""url"": ""https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_rest.htm"", ""final_url"": ""https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_rest.htm"", ""source_kind"": ""official"", ""retrieved_at"": """", ""content_sha256"": """", ""quote"": """", ""supports_claim"": ""yes""}, {""evidence_id"": ""human-report-001:api_types-2"", ""field"": ""api_types"", ""claim"": ""[\""rest\""]"", ""url"": ""https://developer.salesforce.com/docs/platform/api-rest/guide/quickstart.html"", ""final_url"": ""https://developer.salesforce.com/docs/platform/api-rest/guide/quickstart.html"", ""source_kind"": ""official"", ""retrieved_at"": """", ""content_sha256"": """", ""quote"": """", ""supports_claim"": ""yes""}]",medium,needs_verification,"[""low_confidence"", ""no_usable_official_source"", ""Stage03 correction: The official Salesforce REST API documentation explicitly states that REST API provides programmatic access to Salesforce data and can be used to integrate Salesforce into applications. It also states that API resources are accessed through HTTP requests to URIs. This directly establishes that Salesforce exposes an inbound developer API."", ""Stage03 correction: The inspected official sources explicitly document Salesforce REST API and state that it follows RESTful principles, uses resources exposed by URIs, and is accessed through HTTP requests. These sources support \""rest\"". They do not by themselves establish additional API types such as SOAP or GraphQL, so no other protocol types should be added from this review."", ""Stage03 verified-only view: unchecked claims explicitly unknown; see claim-verification.json and frozen first pass.""]",2026-09-16T17:15:50.083531+00:00,stage03-verification-pattern-analysis
1.0,2,HubSpot,1. CRM and Sales,http://hubspot.com/,unknown,"[""oauth2""]",admin_approval,unknown,"[""unknown""]",unknown,official,unknown,unknown,unknown,unknown,"[{""evidence_id"": ""human-report-002:auth_methods-1"", ""field"": ""auth_methods"", ""claim"": ""[\""oauth2\""]"", ""url"": ""https://developers.hubspot.com/docs/apps/developer-platform/build-apps/authentication/oauth/working-with-oauth"", ""final_url"": ""https://developers.hubspot.com/docs/apps/developer-platform/build-apps/authentication/oauth/working-with-oauth"", ""source_kind"": ""official"", ""retrieved_at"": """", ""content_sha256"": """", ""quote"": """", ""supports_claim"": ""yes""}, {""evidence_id"": ""human-report-002:access_model-1"", ""field"": ""access_model"", ""claim"": ""admin_approval"", ""url"": ""https://developers.hubspot.com/docs/apps/developer-platform/build-apps/authentication/oauth/working-with-oauth"", ""final_url"": ""https://developers.hubspot.com/docs/apps/developer-platform/build-apps/authentication/oauth/working-with-oauth"", ""source_kind"": ""official"", ""retrieved_at"": """", ""content_sha256"": """", ""quote"": """", ""supports_claim"": ""yes""}, {""evidence_id"": ""stage03-targeted-2-mcp_available"", ""field"": ""mcp_available"", ""claim"": ""official"", ""url"": ""https://developers.hubspot.com/ai-tools/mcp"", ""final_url"": ""https://developers.hubspot.com/ai-tools/mcp"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T21:11:51+00:00"", ""content_sha256"": ""4e4d63c44733fe3748acbf4d4141fa08f2693c61a89a162d9040b43bb1467a5d"", ""quote"": ""HubSpot offers two distinct MCP servers"", ""supports_claim"": ""yes""}]",medium,needs_verification,"[""missing_field_evidence"", ""quote_not_found"", ""Stage03 correction: This page does not establish that API access is paid. Instead, it explicitly states that users installing apps in a HubSpot account must either be a Super Admin or have HubSpot Marketplace Access permissions. Therefore the first-pass value self_serve_paid is not supported by this source. The documented restriction is an account permission/admin requirement. This finding concerns permission to install/authorize the integration; the page does not by itself establish HubSpot's broader pricing or developer-plan requirements."", ""Stage03 correction: Unchecked first-pass claim withheld from verified view. No independent Stage03 source judgment exists for this field; retain original as a research lead, not verified truth."", ""Stage03 correction: Unchecked first-pass claim withheld from verified view. No independent Stage03 source judgment exists for this field; retain original as a research lead, not verified truth."", ""Stage03 correction: Unchecked first-pass claim withheld from verified view. No independent Stage03 source judgment exists for this field; retain original as a research lead, not verified truth."", ""Stage03 verified-only view: unchecked claims explicitly unknown; see claim-verification.json and frozen first pass.""]",2026-09-16T17:16:11.883280+00:00,stage03-verification-pattern-analysis
1.0,3,Pipedrive,1. CRM and Sales,http://pipedrive.com/,unknown,"[""unknown""]",unknown,unknown,"[""unknown""]",unknown,unknown,unknown,unknown,unknown,unknown,[],unknown,needs_verification,"[""missing_field_evidence"", ""quote_not_found"", ""Stage03 verified-only view: unchecked claims explicitly unknown; see claim-verification.json and frozen first pass.""]",2026-09-16T17:15:53.063690+00:00,stage03-verification-pattern-analysis
1.0,4,Attio,1. CRM and Sales,http://attio.com/,unknown,"[""unknown""]",unknown,unknown,"[""unknown""]",unknown,unknown,unknown,unknown,unknown,unknown,[],unknown,needs_verification,"[""missing_field_evidence"", ""quote_not_found"", ""Stage03 correction: Unchecked first-pass claim withheld from verified view. No independent Stage03 source judgment exists for this field; retain original as a research lead, not verified truth."", ""Stage03 correction: Unchecked first-pass claim withheld from verified view. No independent Stage03 source judgment exists for this field; retain original as a research lead, not verified truth."", ""Stage03 correction: Unchecked first-pass claim withheld from verified view. No independent Stage03 source judgment exists for this field; retain original as a research lead, not verified truth."", ""Stage03 correction: Unchecked first-pass claim withheld from verified view. No independent Stage03 source judgment exists for this field; retain original as a research lead, not verified truth."", ""Stage03 correction: Unchecked first-pass claim withheld from verified view. No independent Stage03 source judgment exists for this field; retain original as a research lead, not verified truth."", ""Stage03 verified-only view: unchecked claims explicitly unknown; see claim-verification.json and frozen first pass.""]",2026-09-16T17:16:08.654747+00:00,stage03-verification-pattern-analysis
1.0,5,Twenty,1. CRM and Sales,http://twenty.com/,unknown,"[""unknown""]",unknown,unknown,"[""unknown""]",unknown,unknown,unknown,unknown,unknown,unknown,[],unknown,needs_verification,"[""missing_field_evidence"", ""quote_not_found"", ""Stage03 verified-only view: unchecked claims explicitly unknown; see claim-verification.json and frozen first pass.""]",2026-09-16T17:16:04.047708+00:00,stage03-verification-pattern-analysis
1.0,6,Podio,1. CRM and Sales,http://podio.com/,unknown,"[""unknown""]",unknown,unknown,"[""unknown""]",unknown,unknown,unknown,unknown,unknown,unknown,[],unknown,needs_verification,"[""missing_field_evidence"", ""quote_not_found"", ""Stage03 correction: Unchecked first-pass claim withheld from verified view. No independent Stage03 source judgment exists for this field; retain original as a research lead, not verified truth."", ""Stage03 correction: Unchecked first-pass claim withheld from verified view. No independent Stage03 source judgment exists for this field; retain original as a research lead, not verified truth."", ""Stage03 correction: Unchecked first-pass claim withheld from verified view. No independent Stage03 source judgment exists for this field; retain original as a research lead, not verified truth."", ""Stage03 correction: Unchecked first-pass claim withheld from verified view. No independent Stage03 source judgment exists for this field; retain original as a research lead, not verified truth."", ""Stage03 verified-only view: unchecked claims explicitly unknown; see claim-verification.json and frozen first pass.""]",2026-09-16T17:16:17.905424+00:00,stage03-verification-pattern-analysis
1.0,7,Zoho CRM,1. CRM and Sales,http://zoho.com/crm,unknown,"[""unknown""]",unknown,unknown,"[""unknown""]",unknown,unknown,unknown,unknown,unknown,unknown,[],unknown,needs_verification,"[""missing_field_evidence"", ""Stage03 correction: Unchecked first-pass claim withheld from verified view. No independent Stage03 source judgment exists for this field; retain original as a research lead, not verified truth."", ""Stage03 correction: Unchecked first-pass claim withheld from verified view. No independent Stage03 source judgment exists for this field; retain original as a research lead, not verified truth."", ""Stage03 correction: Unchecked first-pass claim withheld from verified view. No independent Stage03 source judgment exists for this field; retain original as a research lead, not verified truth."", ""Stage03 verified-only view: unchecked claims explicitly unknown; see claim-verification.json and frozen first pass.""]",2026-09-16T17:16:15.725256+00:00,stage03-verification-pattern-analysis
1.0,8,Close,1. CRM and Sales,http://close.com/,unknown,"[""unknown""]",unknown,unknown,"[""unknown""]",unknown,unknown,unknown,unknown,unknown,unknown,[],unknown,needs_verification,"[""missing_field_evidence"", ""quote_not_found"", ""Stage03 correction: Unchecked first-pass claim withheld from verified view. No independent Stage03 source judgment exists for this field; retain original as a research lead, not verified truth."", ""Stage03 correction: Unchecked first-pass claim withheld from verified view. No independent Stage03 source judgment exists for this field; retain original as a research lead, not verified truth."", ""Stage03 correction: Unchecked first-pass claim withheld from verified view. No independent Stage03 source judgment exists for this field; retain original as a research lead, not verified truth."", ""Stage03 correction: Unchecked first-pass claim withheld from verified view. No independent Stage03 source judgment exists for this field; retain original as a research lead, not verified truth."", ""Stage03 correction: Unchecked first-pass claim withheld from verified view. No independent Stage03 source judgment exists for this field; retain original as a research lead, not verified truth."", ""Stage03 verified-only view: unchecked claims explicitly unknown; see claim-verification.json and frozen first pass.""]",2026-09-16T17:16:31.794664+00:00,stage03-verification-pattern-analysis
1.0,9,Copper,1. CRM and Sales,http://copper.com/,unknown,"[""unknown""]",unknown,unknown,"[""unknown""]",unknown,unknown,unknown,unknown,unknown,unknown,[],unknown,needs_verification,"[""missing_field_evidence"", ""quote_not_found"", ""Stage03 correction: Unchecked first-pass claim withheld from verified view. No independent Stage03 source judgment exists for this field; retain original as a research lead, not verified truth."", ""Stage03 correction: Unchecked first-pass claim withheld from verified view. No independent Stage03 source judgment exists for this field; retain original as a research lead, not verified truth."", ""Stage03 correction: Unchecked first-pass claim withheld from verified view. No independent Stage03 source judgment exists for this field; retain original as a research lead, not verified truth."", ""Stage03 correction: Unchecked first-pass claim withheld from verified view. No independent Stage03 source judgment exists for this field; retain original as a research lead, not verified truth."", ""Stage03 correction: Unchecked first-pass claim withheld from verified view. No independent Stage03 source judgment exists for this field; retain original as a research lead, not verified truth."", ""Stage03 verified-only view: unchecked claims explicitly unknown; see claim-verification.json and frozen first pass.""]",2026-09-16T17:16:31.466394+00:00,stage03-verification-pattern-analysis
1.0,10,DealCloud,1. CRM and Sales,http://api.docs.dealcloud.com/,unknown,"[""unknown""]",unknown,unknown,"[""unknown""]",unknown,unknown,unknown,unknown,unknown,unknown,[],unknown,needs_verification,"[""missing_field_evidence"", ""quote_not_found"", ""raw_identity_mismatch"", ""Stage03 correction: Unchecked first-pass claim withheld from verified view. No independent Stage03 source judgment exists for this field; retain original as a research lead, not verified truth."", ""Stage03 correction: Unchecked first-pass claim withheld from verified view. No independent Stage03 source judgment exists for this field; retain original as a research lead, not verified truth."", ""Stage03 correction: Unchecked first-pass claim withheld from verified view. No independent Stage03 source judgment exists for this field; retain original as a research lead, not verified truth."", ""Stage03 correction: Unchecked first-pass claim withheld from verified view. No independent Stage03 source judgment exists for this field; retain original as a research lead, not verified truth."", ""Stage03 correction: Unchecked first-pass claim withheld from verified view. No independent Stage03 source judgment exists for this field; retain original as a research lead, not verified truth."", ""Stage03 correction: Unchecked first-pass claim withheld from verified view. No independent Stage03 source judgment exists for this field; retain original as a research lead, not verified truth."", ""Stage03 verified-only view: unchecked claims explicitly unknown; see claim-verification.json and frozen first pass.""]",2026-09-16T17:16:31.877844+00:00,stage03-verification-pattern-analysis
