schema_version,id,app_name,category,website,description,auth_methods,access_model,api_available,api_types,api_breadth,mcp_available,mcp_notes,buildability,primary_blocker,buildability_rationale,evidence,research_confidence,verification_status,verification_notes,researched_at,run_id
1.0,1,Salesforce,1. CRM and Sales,http://salesforce.com/,unknown,"[""unknown""]",unknown,yes,"[""rest""]",unknown,unknown,unknown,unknown,unknown,unknown,"[{""evidence_id"": ""stage03-human-001-api_available-1"", ""field"": ""api_available"", ""claim"": ""yes"", ""url"": ""https://developer.salesforce.com/docs/platform/api-rest/guide/quickstart.html"", ""final_url"": ""https://developer.salesforce.com/docs/platform/api-rest/guide/quickstart.html"", ""source_kind"": ""official"", ""retrieved_at"": """", ""content_sha256"": """", ""quote"": """", ""supports_claim"": ""yes""}, {""evidence_id"": ""stage03-human-001-api_available-2"", ""field"": ""api_available"", ""claim"": ""yes"", ""url"": ""https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_rest.htm"", ""final_url"": ""https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_rest.htm"", ""source_kind"": ""official"", ""retrieved_at"": """", ""content_sha256"": """", ""quote"": """", ""supports_claim"": ""yes""}, {""evidence_id"": ""stage03-human-001-api_types-1"", ""field"": ""api_types"", ""claim"": ""[\""rest\""]"", ""url"": ""https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_rest.htm"", ""final_url"": ""https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_rest.htm"", ""source_kind"": ""official"", ""retrieved_at"": """", ""content_sha256"": """", ""quote"": """", ""supports_claim"": ""yes""}, {""evidence_id"": ""stage03-human-001-api_types-2"", ""field"": ""api_types"", ""claim"": ""[\""rest\""]"", ""url"": ""https://developer.salesforce.com/docs/platform/api-rest/guide/quickstart.html"", ""final_url"": ""https://developer.salesforce.com/docs/platform/api-rest/guide/quickstart.html"", ""source_kind"": ""official"", ""retrieved_at"": """", ""content_sha256"": """", ""quote"": """", ""supports_claim"": ""yes""}]",low,needs_verification,"[""low_confidence"", ""no_usable_official_source"", ""Stage03 correction: The official Salesforce REST API documentation explicitly states that REST API provides programmatic access to Salesforce data and can be used to integrate Salesforce into applications. It also states that API resources are accessed through HTTP requests to URIs. This directly establishes that Salesforce exposes an inbound developer API."", ""Stage03 correction: The inspected official sources explicitly document Salesforce REST API and state that it follows RESTful principles, uses resources exposed by URIs, and is accessed through HTTP requests. These sources support \""rest\"". They do not by themselves establish additional API types such as SOAP or GraphQL, so no other protocol types should be added from this review.""]",2026-09-16T17:15:50.083531+00:00,stage02-full-fallback-20260916
1.0,2,HubSpot,1. CRM and Sales,http://hubspot.com/,unknown,"[""oauth2""]",admin_approval,unknown,"[""rest""]","HubSpot APIs cover CRM objects, contacts, automation, and other tools accessible via OAuth scopes.",official,"HubSpot apps can be listed on the HubSpot Marketplace, requiring OAuth authentication and permissions for installation.",unknown,unknown,unknown,"[{""evidence_id"": ""e2"", ""field"": ""auth_methods"", ""claim"": ""oauth2"", ""url"": ""https://developers.hubspot.com/docs/apps/developer-platform/build-apps/authentication/oauth/working-with-oauth"", ""final_url"": ""https://developers.hubspot.com/docs/apps/developer-platform/build-apps/authentication/oauth/working-with-oauth"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T17:15:47.234848+00:00"", ""content_sha256"": ""dd6bd07abbdfad85fb8e8fbdd79f94ac02bb24f2b53b901e2bfcbe50a1ebec9c"", ""quote"": ""OAuth is a secure means of authentication that uses authorization tokens rather than a password to connect your app to a user account."", ""supports_claim"": ""yes""}, {""evidence_id"": ""e3"", ""field"": ""access_model"", ""claim"": ""self_serve_paid"", ""url"": ""https://developers.hubspot.com/docs/apps/developer-platform/build-apps/authentication/oauth/working-with-oauth"", ""final_url"": ""https://developers.hubspot.com/docs/apps/developer-platform/build-apps/authentication/oauth/working-with-oauth"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T17:15:47.234848+00:00"", ""content_sha256"": ""dd6bd07abbdfad85fb8e8fbdd79f94ac02bb24f2b53b901e2bfcbe50a1ebec9c"", ""quote"": ""Users installing apps in their HubSpot account must either be a Super Admin or have HubSpot Marketplace Access permissions."", ""supports_claim"": ""yes""}, {""evidence_id"": ""e5"", ""field"": ""api_types"", ""claim"": ""rest"", ""url"": ""https://developers.hubspot.com/docs/apps/developer-platform/build-apps/authentication/oauth/working-with-oauth"", ""final_url"": ""https://developers.hubspot.com/docs/apps/developer-platform/build-apps/authentication/oauth/working-with-oauth"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T17:15:47.234848+00:00"", ""content_sha256"": ""dd6bd07abbdfad85fb8e8fbdd79f94ac02bb24f2b53b901e2bfcbe50a1ebec9c"", ""quote"": ""Use the access_token to authenticate any API calls made for that HubSpot account."", ""supports_claim"": ""yes""}, {""evidence_id"": ""e6"", ""field"": ""api_breadth"", ""claim"": ""HubSpot APIs cover CRM objects, contacts, automation, and other tools accessible via OAuth scopes."", ""url"": ""https://developers.hubspot.com/docs/apps/developer-platform/build-apps/authentication/oauth/working-with-oauth"", ""final_url"": ""https://developers.hubspot.com/docs/apps/developer-platform/build-apps/authentication/oauth/working-with-oauth"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T17:15:47.234848+00:00"", ""content_sha256"": ""dd6bd07abbdfad85fb8e8fbdd79f94ac02bb24f2b53b901e2bfcbe50a1ebec9c"", ""quote"": ""OAuth requires you to set scopes, or permissions, for your app. Each scope provides access to a set of HubSpot API endpoints and allows users to grant your app access to specific tools in their HubSpot account."", ""supports_claim"": ""yes""}, {""evidence_id"": ""e7"", ""field"": ""mcp_available"", ""claim"": ""official"", ""url"": ""https://developers.hubspot.com/docs/apps/developer-platform/build-apps/authentication/oauth/working-with-oauth"", ""final_url"": ""https://developers.hubspot.com/docs/apps/developer-platform/build-apps/authentication/oauth/working-with-oauth"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T17:15:47.234848+00:00"", ""content_sha256"": ""dd6bd07abbdfad85fb8e8fbdd79f94ac02bb24f2b53b901e2bfcbe50a1ebec9c"", ""quote"": ""Please note: Any app designed for installation by multiple HubSpot accounts or listing on the HubSpot Marketplace must use OAuth."", ""supports_claim"": ""yes""}, {""evidence_id"": ""e8"", ""field"": ""mcp_notes"", ""claim"": ""HubSpot apps can be listed on the HubSpot Marketplace, requiring OAuth authentication and permissions for installation."", ""url"": ""https://developers.hubspot.com/docs/apps/developer-platform/build-apps/authentication/oauth/working-with-oauth"", ""final_url"": ""https://developers.hubspot.com/docs/apps/developer-platform/build-apps/authentication/oauth/working-with-oauth"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T17:15:47.234848+00:00"", ""content_sha256"": ""dd6bd07abbdfad85fb8e8fbdd79f94ac02bb24f2b53b901e2bfcbe50a1ebec9c"", ""quote"": ""Please note: Any app designed for installation by multiple HubSpot accounts or listing on the HubSpot Marketplace must use OAuth."", ""supports_claim"": ""yes""}, {""evidence_id"": ""stage03-human-002-access"", ""field"": ""access_model"", ""claim"": ""admin_approval"", ""url"": ""https://developers.hubspot.com/docs/apps/developer-platform/build-apps/authentication/oauth/working-with-oauth"", ""final_url"": ""https://developers.hubspot.com/docs/apps/developer-platform/build-apps/authentication/oauth/working-with-oauth"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T17:15:47.234848+00:00"", ""content_sha256"": ""dd6bd07abbdfad85fb8e8fbdd79f94ac02bb24f2b53b901e2bfcbe50a1ebec9c"", ""quote"": ""Users installing apps in their HubSpot account must either be a Super Admin or have HubSpot Marketplace Access permissions."", ""supports_claim"": ""yes""}]",low,needs_verification,"[""missing_field_evidence"", ""quote_not_found"", ""Stage03 correction: This page does not establish that API access is paid. Instead, it explicitly states that users installing apps in a HubSpot account must either be a Super Admin or have HubSpot Marketplace Access permissions. Therefore the first-pass value self_serve_paid is not supported by this source. The documented restriction is an account permission/admin requirement. This finding concerns permission to install/authorize the integration; the page does not by itself establish HubSpot's broader pricing or developer-plan requirements.""]",2026-09-16T17:16:11.883280+00:00,stage02-full-fallback-20260916
1.0,3,Pipedrive,1. CRM and Sales,http://pipedrive.com/,unknown,"[""unknown""]",unknown,unknown,"[""unknown""]",unknown,unknown,unknown,unknown,unknown,unknown,[],low,needs_verification,"[""missing_field_evidence"", ""quote_not_found""]",2026-09-16T17:15:53.063690+00:00,stage02-full-fallback-20260916
1.0,4,Attio,1. CRM and Sales,http://attio.com/,Attio provides a public REST API which exchanges JSON over HTTPS.,"[""unknown""]",unknown,yes,"[""rest""]","Attio provides a public REST API with endpoints for authenticating requests, handling rate limits, filtering and sorting, paginating API results, configuring webhooks, and more as part of their developer platform.",unknown,unknown,unknown,unknown,"The official documentation states that Attio provides a public REST API with OAuth 2.0 authentication and detailed guidance on authenticating requests, rate limits, filtering, sorting, pagination, and webhooks, indicating that building integrations is feasible.","[{""evidence_id"": ""e1"", ""field"": ""description"", ""claim"": ""Attio provides a public REST API which exchanges JSON over HTTPS."", ""url"": ""https://docs.attio.com/rest-api/overview"", ""final_url"": ""https://docs.attio.com/rest-api/overview"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T17:15:50.099508+00:00"", ""content_sha256"": ""2ea51ffe9d884c0b3e058cbcd58c47a078e374a27af217995ea59ba923e0ca05"", ""quote"": ""Attio provides a public REST API which exchanges JSON over HTTPS."", ""supports_claim"": ""yes""}, {""evidence_id"": ""e3"", ""field"": ""api_available"", ""claim"": ""yes"", ""url"": ""https://docs.attio.com/rest-api/overview"", ""final_url"": ""https://docs.attio.com/rest-api/overview"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T17:15:50.099508+00:00"", ""content_sha256"": ""2ea51ffe9d884c0b3e058cbcd58c47a078e374a27af217995ea59ba923e0ca05"", ""quote"": ""Attio provides a public REST API which exchanges JSON over HTTPS. In this section, you will find guidance about working with the API. To get up and running, read our guide on how to authenticate requests ."", ""supports_claim"": ""yes""}, {""evidence_id"": ""e4"", ""field"": ""api_types"", ""claim"": ""rest"", ""url"": ""https://docs.attio.com/rest-api/overview"", ""final_url"": ""https://docs.attio.com/rest-api/overview"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T17:15:50.099508+00:00"", ""content_sha256"": ""2ea51ffe9d884c0b3e058cbcd58c47a078e374a27af217995ea59ba923e0ca05"", ""quote"": ""Learn about the REST API"", ""supports_claim"": ""yes""}, {""evidence_id"": ""e5"", ""field"": ""api_breadth"", ""claim"": ""Attio provides a public REST API with endpoints for authenticating requests, handling rate limits, filtering and sorting, paginating API results, configuring webhooks, and more as part of their developer platform."", ""url"": ""https://docs.attio.com/rest-api/overview"", ""final_url"": ""https://docs.attio.com/rest-api/overview"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T17:15:50.099508+00:00"", ""content_sha256"": ""2ea51ffe9d884c0b3e058cbcd58c47a078e374a27af217995ea59ba923e0ca05"", ""quote"": ""Building an OAuth flow for your app Working within our rate limits Setting up and listening to webhooks Filtering and sorting record and entry API queries Paginating API responses"", ""supports_claim"": ""yes""}, {""evidence_id"": ""e6"", ""field"": ""buildability_rationale"", ""claim"": ""The official documentation states that Attio provides a public REST API with OAuth 2.0 authentication and detailed guidance on authenticating requests, rate limits, filtering, sorting, pagination, and webhooks, indicating that building integrations is feasible."", ""url"": ""https://docs.attio.com/rest-api/overview"", ""final_url"": ""https://docs.attio.com/rest-api/overview"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T17:15:50.099508+00:00"", ""content_sha256"": ""2ea51ffe9d884c0b3e058cbcd58c47a078e374a27af217995ea59ba923e0ca05"", ""quote"": ""Attio provides a public REST API which exchanges JSON over HTTPS. In this section, you will find guidance about working with the API. To get up and running, read our guide on how to authenticate requests . From there, feel free to explore other topics or jump straight to the reference documentation . Building an OAuth flow for your app Working within our rate limits Setting up and listening to webhooks Filtering and sorting record and entry API queries Paginating API responses"", ""supports_claim"": ""yes""}]",low,needs_verification,"[""missing_field_evidence"", ""quote_not_found""]",2026-09-16T17:16:08.654747+00:00,stage02-full-fallback-20260916
1.0,5,Twenty,1. CRM and Sales,http://twenty.com/,unknown,"[""unknown""]",unknown,unknown,"[""unknown""]",unknown,unknown,unknown,unknown,unknown,unknown,[],low,needs_verification,"[""missing_field_evidence"", ""quote_not_found""]",2026-09-16T17:16:04.047708+00:00,stage02-full-fallback-20260916
1.0,6,Podio,1. CRM and Sales,http://podio.com/,unknown,"[""oauth2""]",self_serve_paid,yes,"[""rest""]",unknown,unknown,unknown,unknown,unknown,unknown,"[{""evidence_id"": ""e2"", ""field"": ""auth_methods"", ""claim"": ""The Podio API uses the OAuth2 protocol for authentication."", ""url"": ""https://developers.podio.com/authentication"", ""final_url"": ""https://developers.podio.com/authentication"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T17:16:04.064175+00:00"", ""content_sha256"": ""a23436457cb912a1d59950b0657dad869eb7a7c31957556d6d1a445a4a8194f3"", ""quote"": ""The Podio API uses the OAuth2 protocol for authentication."", ""supports_claim"": ""yes""}, {""evidence_id"": ""e3"", ""field"": ""access_model"", ""claim"": ""Before you can use the Podio API you must register your application . Your application is assigned a unique identifier, called \""Client ID\"", together with a \""Client Secret\""."", ""url"": ""https://developers.podio.com/authentication"", ""final_url"": ""https://developers.podio.com/authentication"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T17:16:04.064175+00:00"", ""content_sha256"": ""a23436457cb912a1d59950b0657dad869eb7a7c31957556d6d1a445a4a8194f3"", ""quote"": ""Before you can use the Podio API you must register your application . Your application is assigned a unique identifier, called \""Client ID\"", together with a \""Client Secret\""."", ""supports_claim"": ""yes""}, {""evidence_id"": ""e4"", ""field"": ""api_available"", ""claim"": ""Podio API is available and uses OAuth2 authentication with access tokens included in HTTP headers for API requests."", ""url"": ""https://developers.podio.com/authentication"", ""final_url"": ""https://developers.podio.com/authentication"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T17:16:04.064175+00:00"", ""content_sha256"": ""a23436457cb912a1d59950b0657dad869eb7a7c31957556d6d1a445a4a8194f3"", ""quote"": ""All of these authentication methods will provide you with an access token. You will be including this access token in any subsequent requests to the API. You will do this by including an HTTP header with the access token like so: Authorization: OAuth2 ACCESS_TOKEN"", ""supports_claim"": ""yes""}, {""evidence_id"": ""e5"", ""field"": ""api_types"", ""claim"": ""Podio API is a REST API accessed via HTTP with OAuth2 authentication."", ""url"": ""https://developers.podio.com/authentication"", ""final_url"": ""https://developers.podio.com/authentication"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T17:16:04.064175+00:00"", ""content_sha256"": ""a23436457cb912a1d59950b0657dad869eb7a7c31957556d6d1a445a4a8194f3"", ""quote"": ""You will be including this access token in any subsequent requests to the API. You will do this by including an HTTP header with the access token like so: Authorization: OAuth2 ACCESS_TOKEN"", ""supports_claim"": ""yes""}]",low,needs_verification,"[""missing_field_evidence"", ""quote_not_found""]",2026-09-16T17:16:17.905424+00:00,stage02-full-fallback-20260916
1.0,7,Zoho CRM,1. CRM and Sales,http://zoho.com/crm,"Zoho CRM provides an API that uses OAuth 2.0 protocol for authentication, enabling third-party applications to gain delegated access to protected resources such as Leads, Contacts, and Deals.","[""oauth2""]",unknown,yes,"[""unknown""]",unknown,unknown,unknown,unknown,unknown,unknown,"[{""evidence_id"": ""e1"", ""field"": ""description"", ""claim"": ""Zoho CRM provides an API that uses OAuth 2.0 protocol for authentication, enabling third-party applications to gain delegated access to protected resources such as Leads, Contacts, and Deals."", ""url"": ""https://www.zoho.com/crm/developer/docs/api/v8/oauth-overview.html"", ""final_url"": ""https://www.zoho.com/crm/developer/docs/api/v8/oauth-overview.html"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T17:16:08.671809+00:00"", ""content_sha256"": ""8f971bd309b14730863a3b597c3eda6fb4716555298241bd81d46ca085540491"", ""quote"": ""The Zoho CRM API uses the OAuth 2.0 protocol for authentication. OAuth 2.0 is an industry-standard protocol specification that enables third-party applications (clients) to gain delegated access to protected resources in Zoho via an API."", ""supports_claim"": ""yes""}, {""evidence_id"": ""e2"", ""field"": ""auth_methods"", ""claim"": ""oauth2"", ""url"": ""https://www.zoho.com/crm/developer/docs/api/v8/oauth-overview.html"", ""final_url"": ""https://www.zoho.com/crm/developer/docs/api/v8/oauth-overview.html"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T17:16:08.671809+00:00"", ""content_sha256"": ""8f971bd309b14730863a3b597c3eda6fb4716555298241bd81d46ca085540491"", ""quote"": ""The Zoho CRM API uses the OAuth 2.0 protocol for authentication."", ""supports_claim"": ""yes""}, {""evidence_id"": ""e3"", ""field"": ""api_available"", ""claim"": ""yes"", ""url"": ""https://www.zoho.com/crm/developer/docs/api/v8/oauth-overview.html"", ""final_url"": ""https://www.zoho.com/crm/developer/docs/api/v8/oauth-overview.html"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T17:16:08.671809+00:00"", ""content_sha256"": ""8f971bd309b14730863a3b597c3eda6fb4716555298241bd81d46ca085540491"", ""quote"": ""The Zoho CRM API uses the OAuth 2.0 protocol for authentication. OAuth 2.0 is an industry-standard protocol specification that enables third-party applications (clients) to gain delegated access to protected resources in Zoho via an API."", ""supports_claim"": ""yes""}]",low,needs_verification,"[""missing_field_evidence""]",2026-09-16T17:16:15.725256+00:00,stage02-full-fallback-20260916
1.0,8,Close,1. CRM and Sales,http://close.com/,unknown,"[""api_key"", ""oauth2""]",self_serve_paid,yes,"[""rest""]",unknown,official,unknown,unknown,unknown,unknown,"[{""evidence_id"": ""e2"", ""field"": ""auth_methods"", ""claim"": ""Authentication API keys for scripts or OAuth 2.0 for user-facing integrations."", ""url"": ""https://developer.close.com/"", ""final_url"": ""https://developer.close.com/"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T17:16:11.900429+00:00"", ""content_sha256"": ""86c7382179591df79ca859b8959e9bbf03e9d387fb75b778619acd658addee21"", ""quote"": ""Authentication API keys for scripts or OAuth 2.0 for user-facing integrations."", ""supports_claim"": ""yes""}, {""evidence_id"": ""e3"", ""field"": ""access_model"", ""claim"": ""Close Developer Platform is accessible via self-serve paid model."", ""url"": ""https://developer.close.com/"", ""final_url"": ""https://developer.close.com/"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T17:16:11.900429+00:00"", ""content_sha256"": ""86c7382179591df79ca859b8959e9bbf03e9d387fb75b778619acd658addee21"", ""quote"": ""Try for Free Developers Home API Reference MCP Developers Home API Reference MCP Developers Home Build an Integration Overview Create an OAuth App Publish External Links Integrations Directory Product Help Product Updates Making of Close Blog Open Source (GitHub) Developers Home Overview Create an OAuth App Publish Homepage Product Help Log in Try for Free Light On this page Use cases Getting help Scroll to top Close Developer Platform Build integrations, automate workflows, and extend Close for your team."", ""supports_claim"": ""yes""}, {""evidence_id"": ""e4"", ""field"": ""api_available"", ""claim"": ""Close offers a REST API with full endpoint docs, schemas, examples, and an interactive API explorer."", ""url"": ""https://developer.close.com/"", ""final_url"": ""https://developer.close.com/"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T17:16:11.900429+00:00"", ""content_sha256"": ""86c7382179591df79ca859b8959e9bbf03e9d387fb75b778619acd658addee21"", ""quote"": ""REST API Reference Full endpoint docs with schemas, examples, and an interactive API explorer."", ""supports_claim"": ""yes""}, {""evidence_id"": ""e5"", ""field"": ""api_types"", ""claim"": ""Close API is REST."", ""url"": ""https://developer.close.com/"", ""final_url"": ""https://developer.close.com/"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T17:16:11.900429+00:00"", ""content_sha256"": ""86c7382179591df79ca859b8959e9bbf03e9d387fb75b778619acd658addee21"", ""quote"": ""REST API Reference Full endpoint docs with schemas, examples, and an interactive API explorer."", ""supports_claim"": ""yes""}, {""evidence_id"": ""e7"", ""field"": ""mcp_available"", ""claim"": ""MCP Server Model Context Protocol for AI agents is available officially."", ""url"": ""https://developer.close.com/"", ""final_url"": ""https://developer.close.com/"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T17:16:11.900429+00:00"", ""content_sha256"": ""86c7382179591df79ca859b8959e9bbf03e9d387fb75b778619acd658addee21"", ""quote"": ""MCP Server Model Context Protocol for AI agents."", ""supports_claim"": ""yes""}]",low,needs_verification,"[""missing_field_evidence"", ""quote_not_found""]",2026-09-16T17:16:31.794664+00:00,stage02-full-fallback-20260916
1.0,9,Copper,1. CRM and Sales,http://copper.com/,"The Copper Developer API (""Dev API"") provides a RESTful interface with JSON-formatted responses to access most Copper resources.","[""oauth2""]",self_serve_paid,yes,"[""rest""]",unknown,unknown,unknown,unknown,unknown,unknown,"[{""evidence_id"": ""e1"", ""field"": ""description"", ""claim"": ""The Copper Developer API (\""Dev API\"") provides a RESTful interface with JSON-formatted responses to access most Copper resources."", ""url"": ""https://developer.copper.com/"", ""final_url"": ""https://developer.copper.com/"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T17:16:15.741530+00:00"", ""content_sha256"": ""9389f5f707a9c3e77cc63f218a2883f44e5cd021f5487d0b32b950cbb6a390b9"", ""quote"": ""The Copper Developer API (\""Dev API\"") provides a RESTful interface with JSON-formatted responses to access most Copper resources."", ""supports_claim"": ""yes""}, {""evidence_id"": ""e2"", ""field"": ""auth_methods"", ""claim"": ""OAuth2.0"", ""url"": ""https://developer.copper.com/"", ""final_url"": ""https://developer.copper.com/"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T17:16:15.741530+00:00"", ""content_sha256"": ""9389f5f707a9c3e77cc63f218a2883f44e5cd021f5487d0b32b950cbb6a390b9"", ""quote"": ""Authentication Authentication Overview OAuth2.0 OAuth2.0 Overview Quickstart Guide"", ""supports_claim"": ""yes""}, {""evidence_id"": ""e3"", ""field"": ""access_model"", ""claim"": ""self_serve_paid"", ""url"": ""https://developer.copper.com/"", ""final_url"": ""https://developer.copper.com/"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T17:16:15.741530+00:00"", ""content_sha256"": ""9389f5f707a9c3e77cc63f218a2883f44e5cd021f5487d0b32b950cbb6a390b9"", ""quote"": ""The Copper Web API allows you to access and build your own applications that interact with Copper in more complex ways than the integrations we provide out of the box."", ""supports_claim"": ""yes""}, {""evidence_id"": ""e4"", ""field"": ""api_available"", ""claim"": ""yes"", ""url"": ""https://developer.copper.com/"", ""final_url"": ""https://developer.copper.com/"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T17:16:15.741530+00:00"", ""content_sha256"": ""9389f5f707a9c3e77cc63f218a2883f44e5cd021f5487d0b32b950cbb6a390b9"", ""quote"": ""The Copper Developer API (\""Dev API\"") provides a RESTful interface with JSON-formatted responses to access most Copper resources."", ""supports_claim"": ""yes""}, {""evidence_id"": ""e5"", ""field"": ""api_types"", ""claim"": ""rest"", ""url"": ""https://developer.copper.com/"", ""final_url"": ""https://developer.copper.com/"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T17:16:15.741530+00:00"", ""content_sha256"": ""9389f5f707a9c3e77cc63f218a2883f44e5cd021f5487d0b32b950cbb6a390b9"", ""quote"": ""The Copper Developer API (\""Dev API\"") provides a RESTful interface with JSON-formatted responses to access most Copper resources."", ""supports_claim"": ""yes""}]",low,needs_verification,"[""missing_field_evidence"", ""quote_not_found""]",2026-09-16T17:16:31.466394+00:00,stage02-full-fallback-20260916
1.0,10,DealCloud,1. CRM and Sales,http://api.docs.dealcloud.com/,"This site provides a comprehensive overview of our REST APIs, their capabilities, and available endpoints. Whether you're building custom integrations, automating workflows, or exploring advanced use cases, you'll find detailed guidance, examples, and best practices throughout.","[""api_key""]",self_serve_paid,yes,"[""rest""]",unknown,unknown,unknown,buildable,unknown,unknown,"[{""evidence_id"": ""e1"", ""field"": ""description"", ""claim"": ""This site provides a comprehensive overview of our REST APIs, their capabilities, and available endpoints. Whether you're building custom integrations, automating workflows, or exploring advanced use cases, you'll find detailed guidance, examples, and best practices throughout."", ""url"": ""https://api.docs.dealcloud.com/docs"", ""final_url"": ""https://api.docs.dealcloud.com/docs"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T17:16:17.922988+00:00"", ""content_sha256"": ""cdf2cad20d443315d60060f70ac0569ce981a834eb36d4c5f173d9f6f6ca12db"", ""quote"": ""This site provides a comprehensive overview of our REST APIs, their capabilities, and available endpoints. Whether you're building custom integrations, automating workflows, or exploring advanced use cases, you'll find detailed guidance, examples, and best practices throughout."", ""supports_claim"": ""yes""}, {""evidence_id"": ""e2"", ""field"": ""auth_methods"", ""claim"": ""api_key"", ""url"": ""https://api.docs.dealcloud.com/docs"", ""final_url"": ""https://api.docs.dealcloud.com/docs"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T17:16:17.922988+00:00"", ""content_sha256"": ""cdf2cad20d443315d60060f70ac0569ce981a834eb36d4c5f173d9f6f6ca12db"", ""quote"": ""API Keys Authorization Token"", ""supports_claim"": ""yes""}, {""evidence_id"": ""e3"", ""field"": ""access_model"", ""claim"": ""self_serve_paid"", ""url"": ""https://api.docs.dealcloud.com/docs"", ""final_url"": ""https://api.docs.dealcloud.com/docs"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T17:16:17.922988+00:00"", ""content_sha256"": ""cdf2cad20d443315d60060f70ac0569ce981a834eb36d4c5f173d9f6f6ca12db"", ""quote"": ""Whether you're building custom integrations, automating workflows, or exploring advanced use cases, you'll find detailed guidance, examples, and best practices throughout."", ""supports_claim"": ""yes""}, {""evidence_id"": ""e4"", ""field"": ""api_available"", ""claim"": ""yes"", ""url"": ""https://api.docs.dealcloud.com/docs"", ""final_url"": ""https://api.docs.dealcloud.com/docs"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T17:16:17.922988+00:00"", ""content_sha256"": ""cdf2cad20d443315d60060f70ac0569ce981a834eb36d4c5f173d9f6f6ca12db"", ""quote"": ""Welcome to the DealCloud API Docs! This site provides a comprehensive overview of our REST APIs, their capabilities, and available endpoints."", ""supports_claim"": ""yes""}, {""evidence_id"": ""e5"", ""field"": ""api_types"", ""claim"": ""rest"", ""url"": ""https://api.docs.dealcloud.com/docs"", ""final_url"": ""https://api.docs.dealcloud.com/docs"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T17:16:17.922988+00:00"", ""content_sha256"": ""cdf2cad20d443315d60060f70ac0569ce981a834eb36d4c5f173d9f6f6ca12db"", ""quote"": ""Most examples use HTTP requests, making them accessible regardless of your programming language."", ""supports_claim"": ""yes""}, {""evidence_id"": ""e8"", ""field"": ""buildability"", ""claim"": ""buildable"", ""url"": ""https://api.docs.dealcloud.com/docs"", ""final_url"": ""https://api.docs.dealcloud.com/docs"", ""source_kind"": ""official"", ""retrieved_at"": ""2026-09-16T17:16:17.922988+00:00"", ""content_sha256"": ""cdf2cad20d443315d60060f70ac0569ce981a834eb36d4c5f173d9f6f6ca12db"", ""quote"": ""Most examples use HTTP requests, making them accessible regardless of your programming language. You do not need to be an expert in HTTP to follow along, but you may pick up some basics through the examples. To try out the examples, you can use tools like Swagger, Postman, VSCode, or any other tool that supports HTTP requests."", ""supports_claim"": ""yes""}]",low,needs_verification,"[""missing_field_evidence"", ""quote_not_found"", ""raw_identity_mismatch""]",2026-09-16T17:16:31.877844+00:00,stage02-full-fallback-20260916
