id,app,category,description,auth,access,api,mcp,buildability,blocker,evidence_urls,engine
1,Salesforce,1. CRM and Sales,"""Sales and customer relationship management""","[""OAuth2""]","""trial""","""REST; breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_rest.htm | https://developer.salesforce.com/docs/platform/api-rest/guide/quickstart.html | https://developer.salesforce.com/docs/platform/api-rest/guide/intro-oauth-and-connected-apps.html | https://developer.salesforce.com/docs/platform/api-rest/guide/quickstart-dev-org.html | https://developer.salesforce.com/docs/platform/api-rest/guide/quickstart-oauth.html | https://developer.salesforce.com/docs/platform/api-rest/guide/intro-oauth-and-connected-apps.html,AI-session-assisted-evidence-rules
2,HubSpot,1. CRM and Sales,"""CRM, marketing and sales automation""","[""OAuth2""]","""admin""","""HTTP API; breadth needs endpoint inventory""","""unknown""","""conditional""","""OAuth is required for multi-account installs; installer needs Super Admin or Marketplace Access permissions. Plan-dependent scopes still need checking.""",https://developers.hubspot.com/docs/apps/developer-platform/build-apps/authentication/oauth/working-with-oauth,AI-session-assisted-evidence-rules
3,Pipedrive,1. CRM and Sales,"""Sales pipeline and deal management""","[""OAuth2"", ""token""]","""unknown""","""HTTP API; breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://pipedrive.readme.io/docs/core-api-concepts-authentication.md,AI-session-assisted-evidence-rules
4,Attio,1. CRM and Sales,"""Flexible CRM for relationship data""","""unknown""","""unknown""","""REST; breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://docs.attio.com/rest-api/overview | https://docs.attio.com/rest-api/how-to/authentication | https://docs.attio.com/rest-api/how-to/authentication-and-authorization,AI-session-assisted-evidence-rules
5,Twenty,1. CRM and Sales,"""Open-source CRM with workspace-generated APIs""","[""API key""]","""admin""","""GraphQL; breadth needs endpoint inventory""","""unknown""","""conditional""","""Workspace schema changes the API; key creation and role scoping need workspace access. Cloud pricing versus self-hosting is a separate check.""",https://docs.twenty.com/developers/extend/capabilities/apis,AI-session-assisted-evidence-rules
6,Podio,1. CRM and Sales,"""Workspaces and custom business apps""","[""OAuth2""]","""unknown""","""Documented API (protocol unverified); breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://developers.podio.com/authentication,AI-session-assisted-evidence-rules
7,Zoho CRM,1. CRM and Sales,"""Customer relationship and sales management""","[""OAuth2""]","""unknown""","""Documented API (protocol unverified); breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://www.zoho.com/crm/developer/docs/api/v8/oauth-overview.html,AI-session-assisted-evidence-rules
8,Close,1. CRM and Sales,"""Sales CRM with calling and email""","[""API key"", ""OAuth2""]","""unknown""","""REST; breadth needs endpoint inventory""","""official""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://developer.close.com/,AI-session-assisted-evidence-rules
9,Copper,1. CRM and Sales,"""CRM for relationship and pipeline management""","""unknown""","""unknown""","""REST; breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://developer.copper.com/ | https://developer.copper.com/authentication/ | https://developer.copper.com/#authentication,AI-session-assisted-evidence-rules
10,DealCloud,1. CRM and Sales,"""Deal and relationship intelligence for investment teams""","[""token""]","""unknown""","""REST; breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://api.docs.dealcloud.com/docs,AI-session-assisted-evidence-rules
11,Zendesk,2. Support and Helpdesk,"""Customer support tickets and helpdesk workflows""","[""OAuth2""]","""unknown""","""HTTP API; breadth needs endpoint inventory""","""unknown""","""conditional""","""OAuth is the recommended distribution path; basic/API-token customers face migration. Do not design a new multi-customer toolkit around legacy basic auth.""",https://developer.zendesk.com/api-reference/introduction/security-and-auth/,AI-session-assisted-evidence-rules
12,Intercom,2. Support and Helpdesk,"""Customer messaging and support automation""","[""OAuth2"", ""token""]","""unknown""","""Documented API (protocol unverified); breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://developers.intercom.com/docs/build-an-integration/learn-more/authentication,AI-session-assisted-evidence-rules
13,Freshdesk,2. Support and Helpdesk,"""Helpdesk tickets, customers and agents""","[""API key"", ""Basic""]","""trial""","""HTTP API; breadth needs endpoint inventory""","""unknown""","""conditional""","""API key is sent as the Basic-auth username with a dummy password; counting these as independent onboarding options would be misleading.""",https://developers.freshdesk.com/api/,AI-session-assisted-evidence-rules
14,Front,2. Support and Helpdesk,"""Shared inbox and customer communication""","[""OAuth2"", ""token""]","""unknown""","""HTTP API; breadth needs endpoint inventory""","""unknown""","""conditional""","""Developer plan eligibility, credential onboarding, scopes, rate limits and MCP availability need further confirmation before production.""",https://dev.frontapp.com/docs/authentication.md,AI-session-assisted-evidence-rules
